Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,Keycloak,authorization,Open Source,authorization_engineer,identity_management,High,comprehensive_csv,https://github.com/keycloak/keycloak
,Open Policy Agent (OPA),authorization,Open Source,authorization_engineer,policy_engine,High,comprehensive_csv,https://github.com/open-policy-agent/opa
,FreeIPA,authorization,Open Source,authorization_engineer,directory_services,High,comprehensive_csv,https://github.com/freeipa/freeipa
,Wazuh,authorization,Open Source,soc_analyst,authorization_monitoring,Medium,comprehensive_csv,https://github.com/wazuh/wazuh
,Authelia,authorization,Open Source,authorization_engineer,authentication_authorization,Medium,comprehensive_csv,https://github.com/authelia/authelia
,PrivacyIDEA,authorization,Open Source,authorization_engineer,multi_factor_auth,Medium,comprehensive_csv,https://github.com/privacyidea/privacyidea
,Elastic Stack (ELK),authorization,Open Source,soc_analyst,authorization_log_analysis,Medium,comprehensive_csv,https://github.com/elastic/elasticsearch
,CrowdSec,authorization,Open Source,authorization_engineer,threat_intelligence,Medium,comprehensive_csv,https://github.com/crowdsecurity/crowdsec
,Osquery,authorization,Open Source,authorization_engineer,endpoint_authorization,Medium,comprehensive_csv,https://github.com/osquery/osquery
,OpenIAM,authorization,Open Source,authorization_engineer,identity_governance,Medium,comprehensive_csv,https://github.com/openiam/openiam
,Okta,authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://developer.okta.com
,Microsoft Entra ID (Azure AD),authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://docs.microsoft.com/en-us/azure/active-directory
,Ping Identity,authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://docs.pingidentity.com
,SailPoint IdentityNow,authorization,Commercial,authorization_engineer,identity_governance,High,comprehensive_csv,https://docs.sailpoint.com
,CyberArk,authorization,Commercial,authorization_engineer,privileged_access_management,High,comprehensive_csv,https://docs.cyberark.com
,BeyondTrust,authorization,Commercial,authorization_engineer,privileged_access_management,High,comprehensive_csv,https://docs.beyondtrust.com
,ForgeRock AM,authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://backstage.forgerock.com
,IBM Security Verify,authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://www.ibm.com/docs/en/security-verify
,Oracle Identity Cloud Service (IDCS),authorization,Commercial,authorization_engineer,identity_management,High,comprehensive_csv,https://docs.oracle.com/en/cloud/paas/identity-cloud
,RSA SecurID Governance & Lifecycle,authorization,Commercial,authorization_engineer,identity_governance,High,comprehensive_csv,https://docs.rsa.com
,OpenFGA,authorization,Open Source,authorization_engineer,fine_grained_authz,High,comprehensive_csv,https://github.com/openfga/openfga
,Ory Keto,authorization,Open Source,authorization_engineer,relationship_based_authz,High,comprehensive_csv,https://github.com/ory/keto
,SpiceDB,authorization,Open Source,authorization_engineer,zanzibar_authz,Medium,comprehensive_csv,https://github.com/authzed/spicedb
,Casbin,authorization,Open Source,authorization_engineer,access_control_library,High,comprehensive_csv,https://github.com/casbin/casbin
,FreeOTP,authorization,Open Source,authorization_engineer,mobile_mfa,Medium,comprehensive_csv,https://github.com/freeotp/freeotp-android
,andOTP,authorization,Open Source,authorization_engineer,mobile_mfa,Medium,comprehensive_csv,https://github.com/andOTP/andOTP
,Aegis Authenticator,authorization,Open Source,authorization_engineer,mobile_mfa,Medium,comprehensive_csv,https://github.com/beemdevelopment/Aegis
,TOTP-CLI,authorization,Open Source,authorization_engineer,command_line_mfa,Low,comprehensive_csv,https://github.com/yitsushi/totp-cli
,LinOTP,authorization,Open Source,authorization_engineer,mfa_server,Medium,comprehensive_csv,https://github.com/LinOTP/LinOTP
,FreeRADIUS,authorization,Open Source,authorization_engineer,radius_server,High,comprehensive_csv,https://github.com/FreeRADIUS/freeradius-server
,OpenLDAP,authorization,Open Source,authorization_engineer,directory_service,High,comprehensive_csv,https://github.com/openldap/openldap
,389 Directory Server,authorization,Open Source,authorization_engineer,directory_service,Medium,comprehensive_csv,https://github.com/389ds/389-ds-base
,Kanidm,authorization,Open Source,authorization_engineer,modern_identity,Medium,comprehensive_csv,https://github.com/kanidm/kanidm
,Zitadel,authorization,Open Source,authorization_engineer,identity_platform,Medium,comprehensive_csv,https://github.com/zitadel/zitadel
